epoch,total_loss,u_loss,v_loss,p_loss
30,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.6454e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.9961e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
31,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.5310e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.0098e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
32,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.5352e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.9448e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
33,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.5434e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.8852e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
34,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4939e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.8315e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
35,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4803e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.7153e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
36,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4227e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.6568e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
37,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4046e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.6579e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
38,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4025e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.6611e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
39,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3884e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.6682e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
40,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3636e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.6380e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
41,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3772e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.5970e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
42,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3670e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.5649e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
43,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3997e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.4588e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
44,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4019e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.3886e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
45,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4045e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.3705e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
46,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3969e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.3270e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
47,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3173e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.2340e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
48,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.2190e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.1529e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
49,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.1809e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.1033e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
50,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.1245e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.1150e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
51,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.0311e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.0709e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
52,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.0531e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.0630e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
53,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.0680e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.0380e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
54,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9711e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.0298e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
55,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9526e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(4.0103e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
56,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9560e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9958e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
57,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9527e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9931e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
58,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9470e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9860e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
59,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9312e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9568e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
60,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9226e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9421e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
61,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9112e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9310e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
62,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.8885e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.9201e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
63,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.8584e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8712e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
64,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7803e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8364e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
65,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7799e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8193e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
66,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7714e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8153e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
67,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7718e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8143e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
68,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7719e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8135e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
69,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7731e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8117e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
70,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7791e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8118e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
71,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7806e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8322e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
72,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7789e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8265e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
73,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7769e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8422e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
74,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7554e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8293e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
75,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7409e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8214e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
76,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7273e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8249e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
77,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7072e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8097e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
78,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6953e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8141e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
79,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6898e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8150e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
80,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
81,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
82,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
83,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
84,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
85,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
86,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
87,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
88,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
89,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
90,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
91,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
92,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
93,"tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.6893e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(3.8155e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
